date,科蓝软件,创业慧康,劲嘉股份,新开普,中国太保,高伟达,万向德农,承德露露,汇鸿集团,巨人网络,财通证券,捷顺科技,申通地铁,健康元,佳都科技,塞力斯,海泰发展,君正集团,浙大网新,航天信息,易联众,东港股份,七匹狼,卫宁健康,湘邮科技,永安行,凤凰传媒,绿地控股,新大陆,金字火腿,合肥城建,中国人寿,润和软件,新华保险,张江高科,南京银行,新华联,恒生电子,国金证券
2020-02-19,1.17316880883617,36.62886880883617,-6.133931191163827,27.25136880883617,-5.916131191163829,12.944668808836171,3.0724688088361725,-6.134231191163828,-6.671531191163827,0.055368808836172345,6.387368808836173,31.136468808836167,-3.753031191163827,7.509368808836177,10.856668808836172,8.001668808836175,-4.521331191163827,4.361968808836171,-1.6274311911638237,6.304368808836174,13.906668808836173,11.607768808836175,-1.9054311911638278,44.54646880883617,-6.948131191163824,3.9877688088361722,0.7090688088361712,-6.467131191163827,8.064968808836175,-8.591231191163825,-2.5966311911638287,-2.8701311911638285,-0.8381311911638265,-0.04463119116382663,-1.3427311911638278,-1.6771311911638274,-10.267131191163825,25.44626880883618,17.963068808836173
2020-02-20,1.8914844359322984,34.012084435932294,-3.8692155640676997,33.2144844359323,-5.416115564067701,16.134584435932297,5.701084435932298,-5.7970155640677,-6.097915564067698,-4.418615564067699,12.180984435932299,17.756984435932296,-4.0117155640677,4.6292844359323055,6.753484435932299,8.529484435932305,-5.171815564067699,1.5701844359322998,-7.045515564067698,4.203484435932302,15.200884435932299,8.5276844359323,-3.083415564067699,41.7552844359323,-3.152115564067694,-2.6760155640676997,0.968484435932299,-7.4117155640677,10.326084435932302,-4.2665155640676975,-5.7244155640677,-2.9822155640677,-6.031715564067699,0.7050844359323011,-4.9707155640676985,-2.4563155640676992,-10.075415564067699,29.18678443593231,25.426484435932302
2020-02-21,10.860297846924077,33.005997846924075,-6.0745021530759225,32.71519784692408,-6.0077021530759245,14.867497846924078,1.7388978469240768,-7.405502153075921,-7.650902153075921,5.416397846924077,10.276497846924078,15.799997846924077,-6.076702153075921,8.09879784692408,12.472497846924076,8.327997846924081,-6.469302153075921,-0.12750215307592372,-4.63260215307592,3.4646978469240777,19.40799784692408,10.632497846924078,-5.916802153075922,41.90139784692408,-3.3139021530759205,1.8087978469240764,0.15129784692407688,-9.824402153075923,10.891297846924079,-6.813402153075917,-9.353802153075923,-2.4207021530759234,-9.35900215307592,-1.4252021530759216,-4.410502153075921,-3.4604021530759224,-13.191702153075921,24.594897846924084,22.48629784692408
2020-02-24,12.85157667607218,33.33747667607218,-8.485423323927822,31.759876676072174,-8.824623323927824,10.747576676072178,6.884476676072177,-9.12402332392782,-8.363823323927821,12.441176676072178,13.656876676072178,16.925176676072176,-5.675323323927821,14.955276676072181,17.337676676072178,8.16287667607218,-7.975623323927819,-1.6492233239278224,-0.846223323927819,5.539076676072178,16.272876676072176,17.09097667607218,-6.0921233239278205,44.93607667607218,0.631576676072183,2.9564766760721786,-1.5121233239278224,-11.39632332392782,11.78227667607218,-2.1021233239278194,-14.214323323927823,-1.755323323927822,-5.2145233239278195,-3.4351233239278205,-4.44082332392782,-4.980823323927821,-12.50102332392782,19.330976676072186,22.23547667607218
2020-02-25,15.57404507510317,35.89974507510317,-5.86805492489683,32.23644507510317,-6.634754924896831,9.73464507510317,7.86864507510317,-6.512954924896829,-6.93295492489683,14.387645075103169,13.700145075103169,18.835145075103167,-5.477554924896829,14.517045075103173,16.99364507510317,7.948345075103171,-6.997054924896828,0.11894507510316821,8.262545075103173,3.60924507510317,26.363945075103167,16.22054507510317,-3.9253549248968302,48.26304507510318,-2.643454924896826,3.3131450751031712,-0.5325549248968297,-8.32575492489683,10.681345075103174,-0.9337549248968267,-9.70715492489683,-3.567454924896831,12.444345075103172,-3.564754924896829,-4.736254924896828,-3.21345492489683,-11.14685492489683,21.854645075103175,28.634945075103168
2020-02-26,11.579851247601898,28.123751247601895,-8.259848752398103,28.523751247601897,-5.383348752398103,10.889251247601898,10.198351247601899,-7.284648752398102,-4.5332487523981015,10.9515512476019,11.154651247601894,17.855951247601897,-4.134348752398102,9.350651247601899,16.9569512476019,-1.0291487523981027,-4.293948752398101,0.05095124760189562,4.997651247601899,4.852151247601898,19.5443512476019,15.983651247601898,-2.7229487523981013,44.9581512476019,-5.402248752398097,3.930151247601897,0.1917512476018981,-4.925148752398101,9.764151247601902,-0.9471487523981006,2.848851247601898,-2.7907487523981027,4.3151512476019,-1.4744487523981014,-5.239348752398101,-1.9135487523981016,-10.434848752398102,13.959451247601901,22.6235512476019
2020-02-27,12.816440341057627,30.21884034105763,-5.5113596589423715,38.669040341057624,-6.606259658942371,13.099940341057629,8.349640341057631,-4.37395965894237,-2.5836596589423717,11.81444034105763,9.917540341057627,10.849840341057625,-4.150259658942371,15.67624034105763,13.20384034105763,1.6473403410576313,-3.3898596589423704,0.08514034105762691,4.68344034105763,10.955640341057627,19.350340341057628,20.318240341057628,-2.512959658942371,52.98124034105763,4.285740341057629,5.873740341057629,1.1165403410576293,-5.225259658942372,9.460840341057633,2.12324034105763,11.55644034105763,-3.4425596589423724,3.9761403410576315,-2.378359658942371,-4.43955965894237,-1.7092596589423712,-9.916859658942371,14.77274034105763,21.93154034105763
2020-02-28,6.432161611639713,29.993161611639714,-2.6136383883602883,36.65236161163971,-6.343338388360287,8.688961611639714,10.588661611639715,-3.4385383883602856,-2.8082383883602855,11.176161611639715,9.20466161163971,11.828561611639712,-4.389438388360288,16.519461611639713,9.664361611639714,-7.813838388360289,-4.392638388360286,-1.6296383883602883,2.1057616116397133,9.403861611639714,19.575161611639714,18.82816161163971,-0.8109383883602863,55.406261611639714,0.864861611639713,3.5988616116397125,1.6322616116397115,-4.779138388360286,4.483961611639714,-0.2980383883602853,12.581161611639715,-3.1864383883602874,5.369361611639711,-2.391938388360287,-5.565638388360286,-0.7848383883602867,-10.896138388360285,15.17296161163972,19.972561611639716
2020-03-02,9.110626309533256,34.23362630953326,-1.408573690466742,35.951926309533256,-8.028873690466742,9.976726309533259,11.59182630953326,-3.4137736904667406,-2.0938736904667414,8.019726309533258,12.370826309533257,18.010526309533255,-3.771773690466741,18.693126309533255,11.07802630953326,-18.076873690466748,-0.2633736904667421,0.05512630953325626,4.81572630953326,10.928026309533259,24.01932630953326,18.927226309533257,2.0919263095332585,56.57422630953326,3.311226309533259,6.705626309533259,2.2868263095332595,-1.234773690466743,6.281826309533261,1.33802630953326,20.76172630953326,-3.311473690466742,7.946626309533259,-2.346273690466743,-0.9217736904667415,-2.8215736904667423,-8.471573690466743,15.105326309533258,22.38812630953326
2020-03-03,21.29443116443408,31.157531164434076,4.781331164434081,34.48273116443407,-8.716468835565918,15.252231164434086,22.45473116443408,0.0212311644340811,5.884131164434083,4.84363116443408,20.779431164434076,13.53243116443408,2.258131164434082,21.286031164434082,26.01513116443408,-15.514968835565918,8.247231164434082,8.24093116443408,16.82953116443408,9.52123116443408,33.861131164434084,32.13963116443408,4.839431164434082,57.75383116443408,12.998231164434081,12.392831164434078,-0.3181688355659177,2.396731164434081,15.126431164434084,10.149531164434084,28.824731164434088,-5.513468835565917,27.122631164434083,-4.635768835565919,7.654631164434081,-3.0605688355659195,2.6841311644340817,20.058831164434082,27.408131164434085
