date,飞利信,恒宝股份,数知科技,聚龙股份,梦网集团,昆仑万维,科蓝软件,金固股份,金冠股份,金财互联,紫光国微,中科创达,信息发展,海联金汇,飞天诚信,赢时胜,科达股份,汉威科技,朗科科技,华媒控股,海峡创新,*ST联络,二三四五,众应互联,新晨科技,广电运通,数字认证,奥马电器,智度股份,华力创通,广东骏亚
2020-03-10,8.442102084927416,15.979802084927417,15.842502084927414,0.00240208492741667,-5.352697915072582,-11.741897915072581,7.476202084927417,6.742902084927421,7.953402084927415,-8.898897915072586,2.051702084927415,-7.022497915072583,-3.3064979150725833,1.4756020849274158,0.6658020849274169,8.520702084927416,2.8871020849274163,24.449302084927417,11.815502084927415,-5.994097915072581,-15.315597915072582,4.178802084927415,3.018002084927417,8.652302084927417,3.597702084927416,-1.630797915072584,3.4681020849274176,0.8436020849274177,4.905202084927415,10.66580208492742,8.432502084927416
2020-03-11,0.5627148409325244,17.539614840932522,16.952814840932522,-0.7085851590674761,-3.8616851590674752,-14.133585159067476,5.934114840932522,16.316614840932523,7.315614840932521,-14.97598515906748,0.9744148409325211,-7.125085159067476,-3.5386851590674784,4.354814840932523,0.9260148409325235,7.436514840932523,0.6814148409325215,24.505914840932526,12.312814840932523,-1.3020851590674751,-15.628285159067477,2.4179148409325215,4.1004148409325225,9.543814840932521,7.767014840932522,-1.103285159067478,4.352114840932523,1.9077148409325226,4.117514840932523,11.013114840932527,10.97541484093252
2020-03-12,-4.295409671726509,15.816090328273491,21.797390328273494,-7.281109671726506,-3.260809671726505,-12.042309671726507,3.2642903282734927,9.526590328273494,5.327990328273492,-13.53060967172651,-1.3354096717265087,-2.3041096717265077,-2.2698096717265077,1.5380903282734928,-2.215409671726507,5.771990328273489,0.7549903282734918,20.59399032827349,19.87189032827349,-3.020809671726505,-14.475309671726508,4.73709032827349,4.902790328273492,10.160390328273493,8.733190328273494,-5.867109671726508,0.27429032827349364,2.4011903282734925,0.45749032827349256,23.016890328273497,8.303390328273492
2020-03-13,-4.600382145500287,13.083217854499717,21.44441785449972,-7.6194821455002835,-3.573782145500283,-10.927682145500285,1.3835178544997164,10.229517854499717,8.262317854499717,-11.188182145500285,0.10751785449971418,-1.4863821455002824,-2.674282145500285,0.5787178544997162,-4.4117821455002835,2.7361178544997156,0.9056178544997144,18.319817854499725,22.39581785449971,-1.7542821455002815,-11.390782145500285,4.808817854499717,4.918017854499716,9.094017854499715,12.290817854499716,-6.012982145500285,1.0837178544997172,0.29521785449971516,0.8380178544997166,19.04871785449972,3.014217854499715
2020-03-16,-8.763169464470957,12.144630535529048,15.836730535529048,-6.979969464470952,-2.2310694644709526,-5.283169464470953,0.9634305355290465,14.428530535529049,6.914430535529045,-14.716569464470957,1.8648305355290453,-4.614469464470952,3.002730535529046,2.241930535529047,-3.8653694644709526,-2.3375694644709544,2.5543305355290467,15.593830535529053,18.58563053552904,3.1135305355290495,-6.670969464470953,7.3515305355290455,7.327330535529047,6.094830535529047,10.85063053552905,-5.580569464470955,4.037630535529049,2.8067305355290473,0.8520305355290467,9.321230535529052,6.124230535529047
2020-03-17,-1.9729925654577727,11.711207434542235,12.38590743454223,-8.480792565457769,-9.646892565457769,-3.9405925654577683,1.000107434542232,14.363607434542228,6.741907434542231,-15.17129256545777,2.429507434542229,-1.3983925654577685,2.9065074345422293,-0.7634925654577678,-2.938392565457767,0.35570743454223086,1.5448074345422305,14.368807434542235,11.867707434542229,2.763407434542234,-3.1219925654577696,2.325907434542233,8.558407434542232,-0.2243925654577703,9.609107434542233,-2.749892565457769,1.3886074345422346,2.892807434542231,0.43520743454223,6.9022074345422375,5.44730743454223
2020-03-18,0.5986483750049985,7.387348375005004,6.139548375005004,-8.876851624994998,-8.215351624994996,-5.143951624994999,0.37134837500500306,15.650348375005002,5.326448375005002,-25.398151624995002,1.3764483750050012,5.543048375005005,6.083248375005002,-4.177551624994996,-1.7213516249949972,0.2950483750050015,0.6867483750050025,11.483848375005003,1.6584483750050005,1.2266483750050057,-2.3935516249949966,-0.4679516249949982,6.070648375005003,0.23554837500500045,7.660148375005005,-2.4927516249949995,5.032648375005006,2.6938483750050026,0.8779483750050026,19.967948375005008,2.085248375005003
2020-03-19,5.115901921949254,5.317401921949257,7.896701921949259,-7.519698078050742,-8.804198078050742,-6.203398078050744,-2.4085980780507423,13.526501921949254,2.6873019219492567,-26.936498078050747,4.451901921949257,5.387601921949258,4.916801921949258,-6.5415980780507414,-0.5591980780507415,-3.6353980780507427,-1.7086980780507435,11.971801921949265,6.4615019219492575,0.9865019219492603,-3.791798078050743,-3.794398078050743,7.902001921949257,0.9380019219492552,7.88040192194926,-1.114098078050744,4.30650192194926,-0.09109807805074377,1.8683019219492565,25.012901921949265,1.4560019219492573
2020-03-20,3.8263029759530425,8.298702975953045,9.931602975953048,-5.757297024046954,-14.197097024046954,-3.2241970240469557,-8.127597024046956,13.815102975953044,-0.3929970240469549,-21.119197024046958,3.4517029759530455,-1.8844970240469547,3.4062029759530468,-6.471897024046953,0.3339029759530463,1.2220029759530449,1.3174029759530468,15.498702975953053,2.949802975953042,5.134602975953048,-3.501797024046953,-2.4052970240469556,8.975902975953048,4.117302975953044,9.405902975953047,1.4932029759530443,1.1675029759530482,0.11980297595304634,-0.18199702404695423,22.92280297595305,6.722102975953046
2020-03-23,5.841932754367331,7.612832754367333,2.0509327543673352,-7.021667245632667,-18.453567245632666,-2.7850672456326686,-8.404967245632665,13.97423275436733,3.020632754367335,-19.588367245632668,-2.4399672456326664,-6.685267245632668,10.103132754367333,-6.914267245632664,0.7669327543673348,4.516332754367333,4.294332754367334,12.57013275436734,0.3048327543673306,10.020932754367337,-1.6124672456326667,0.8332327543673337,8.844932754367335,3.772232754367332,7.461032754367336,7.767032754367333,1.8787327543673364,3.1310327543673333,0.9880327543673317,22.018732754367335,4.267632754367334
