date,ST舍得,洋河股份,酒鬼酒,广誉远,*ST皇台,泸州老窖,水井坊,ST岩石,口子窖,古井贡酒,五粮液,青海春天,今世缘,迎驾贡酒,山西汾酒,顺鑫农业,青青稞酒,贵州茅台,金种子酒,老白干酒,伊力特
2020-05-28,2.6567303926046737,7.3595303926046745,25.203330392604673,16.066630392604676,-7.788669607395325,-0.001969607395326256,1.5343303926046727,-26.707769607395328,5.2768303926046745,1.6810303926046748,2.3340303926046735,-10.274769607395326,4.199230392604674,9.579330392604673,15.957830392604672,-10.167169607395326,-0.47876960739532626,-2.4159696073953274,-1.5664696073953275,0.5609303926046729,3.9472303926046743
2020-05-29,-1.702314555057304,6.995185444942697,22.769985444942698,17.1416854449427,-7.578914555057303,-3.810814555057303,-0.9751145550573057,-20.756914555057307,6.1066854449426975,0.569485444942698,-0.8081145550573035,-5.692314555057303,3.164485444942698,13.450085444942697,9.069185444942693,-8.334914555057306,-0.7010145550573024,-0.7700145550573037,0.2970854449426956,4.139185444942696,7.022785444942697
2020-06-01,4.030620298141361,-4.154079701858637,24.289120298141363,13.818220298141366,-12.566179701858637,-0.0692797018586373,-1.3142797018586398,-26.51887970185864,2.2849202981413628,-0.6228797018586367,3.733420298141361,-7.519079701858639,3.3204202981413635,10.192120298141361,12.273620298141362,-9.371879701858639,-2.9130797018586367,-1.5556797018586381,-2.9079797018586393,1.8488202981413608,4.358720298141362
2020-06-02,3.2678379964707527,-4.949162003529247,24.222237996470753,7.829637996470752,-12.078562003529248,-0.9269620035292477,-3.52526200352925,-24.26756200352925,2.9844379964707537,-3.1632620035292467,4.135237996470751,-6.43796200352925,0.9101379964707523,7.071537996470754,7.613837996470752,-12.547762003529249,-5.315462003529246,-0.9656620035292484,-3.960762003529249,-1.0016620035292485,3.790337996470754
2020-06-03,4.281993175656167,-4.343106824343833,22.852893175656167,8.081493175656167,-9.454106824343832,1.1592931756561673,-0.8434068243438354,-22.420206824343836,4.304593175656168,-0.7709068243438322,4.628693175656166,-4.702106824343834,2.079993175656167,8.708893175656168,11.228893175656166,-8.861306824343835,-3.107706824343832,-1.8600068243438337,-2.521106824343834,0.5384931756561658,0.7034931756561691
2020-06-04,8.050431797459417,-2.2763682025405836,27.005931797459418,4.047631797459418,-9.121868202540586,1.713531797459416,4.513731797459414,-24.250768202540584,7.865931797459419,-1.1636682025405827,2.669331797459415,-2.6241682025405852,4.330531797459416,7.663231797459416,11.942131797459416,-3.4933682025405854,-0.3792682025405818,-1.8298682025405844,-1.640668202540585,4.564031797459416,0.9227317974594182
2020-06-05,10.133346964487338,-0.3368530355126613,28.776846964487337,5.001346964487342,-9.973953035512663,4.2556469644873385,4.471246964487337,-25.171953035512665,6.620846964487339,-4.28725303551266,1.9002469644873379,-4.558753035512662,0.512746964487339,6.980246964487339,12.294546964487338,-4.212453035512664,-3.65565303551266,-1.6727530355126616,-3.485653035512663,2.370246964487337,1.5056469644873398
2020-06-08,10.717438265659593,3.939738265659593,35.75783826565959,5.472438265659596,-9.192861734340408,5.154438265659592,7.13873826565959,-26.082361734340413,5.5783382656595935,-7.656261734340407,3.740938265659592,-5.286261734340409,-0.7871617343404071,8.436238265659593,14.801438265659593,-3.2260617343404094,-3.349161734340406,-2.8569617343404077,-3.618661734340408,3.824838265659592,-2.3941617343404054
2020-06-09,11.757488838801674,6.422988838801673,27.114288838801677,9.116988838801678,-9.341611161198328,4.2111888388016725,10.93638883880167,-19.941411161198328,9.386088838801674,-8.660211161198324,4.097288838801672,-4.7701111611983285,-0.06271116119832618,15.575488838801675,10.459788838801675,-0.21021116119832928,-0.9891111611983261,-3.017611161198327,-3.029411161198328,5.740088838801672,-2.482111161198326
2020-06-10,10.93847976681767,5.563779766817669,28.555179766817666,7.693979766817673,-8.42722023318233,-0.10452023318233147,9.522779766817669,-17.55302023318233,6.422879766817671,-9.158620233182331,2.7991797668176686,-4.103420233182333,-0.45762023318233125,12.23897976681767,6.12087976681767,-0.18042023318233258,-3.25452023318233,-1.8226202331823314,-5.342620233182331,3.146979766817668,0.6467797668176698
